Revenue,Size,Rating,Headquarters
Unknown / Non-Applicable,1001 to 5000 employees,3.1,"New York, NY"
$1 to $2 billion (USD),5001 to 10000 employees,4.2,"Herndon, VA"
$100 to $500 million (USD),1001 to 5000 employees,3.8,"Boston, MA"
$100 to $500 million (USD),501 to 1000 employees,3.5,"Bad Ragaz, Switzerland"
Unknown / Non-Applicable,51 to 200 employees,2.9,"New York, NY"
Unknown / Non-Applicable,51 to 200 employees,4.2,"Santa Barbara, CA"
$10+ billion (USD),10000+ employees,3.9,"Basel, Switzerland"
$1 to $2 billion (USD),1001 to 5000 employees,3.5,"Bedford, MA"
$2 to $5 billion (USD),5001 to 10000 employees,4.4,"Mountain View, CA"
Unknown / Non-Applicable,51 to 200 employees,3.6,"Chicago, IL"
$100 to $500 million (USD),501 to 1000 employees,4.5,"Mc Lean, VA"
Unknown / Non-Applicable,51 to 200 employees,4.7,"Saint Louis, MO"
$500 million to $1 billion (USD),1001 to 5000 employees,3.7,"Richland, WA"
$1 to $2 billion (USD),201 to 500 employees,3.1,"Northbrook, IL"
$100 to $500 million (USD),1001 to 5000 employees,3.4,"Princeton, NJ"
Unknown / Non-Applicable,1 to 50 employees,4.4,"Mays Landing, NJ"
Unknown / Non-Applicable,51 to 200 employees,4.1,"Washington, DC"
$500 million to $1 billion (USD),1001 to 5000 employees,3.5,"Memphis, TN"
$5 to $10 billion (USD),5001 to 10000 employees,4.2,"Tempe, AZ"
Unknown / Non-Applicable,5001 to 10000 employees,3.5,"Reading, PA"
Unknown / Non-Applicable,51 to 200 employees,3.2,"San Francisco, CA"
$100 to $500 million (USD),51 to 200 employees,4.3,"New York, NY"
$100 to $500 million (USD),1001 to 5000 employees,3.5,"Menlo Park, CA"
$5 to $10 billion (USD),5001 to 10000 employees,3.5,"New York, NY"
$10 to $25 million (USD),51 to 200 employees,3.4,"Chicago, IL"
$25 to $50 million (USD),51 to 200 employees,4.7,"Atlanta, GA"
$100 to $500 million (USD),51 to 200 employees,4.2,"Orlando, FL"
Unknown / Non-Applicable,1001 to 5000 employees,3.8,"Lexington, MA"
$25 to $50 million (USD),51 to 200 employees,4.5,"Falls Church, VA"
Unknown / Non-Applicable,51 to 200 employees,2.8,"San Francisco, CA"
$100 to $500 million (USD),1001 to 5000 employees,3.8,"Boston, MA"
$10+ billion (USD),10000+ employees,3.9,"Basel, Switzerland"
Unknown / Non-Applicable,1 to 50 employees,5.0,"Boston, MA"
$1 to $2 billion (USD),1001 to 5000 employees,4.8,"Sheboygan, WI"
$50 to $100 million (USD),201 to 500 employees,3.6,"Seattle, WA"
$2 to $5 billion (USD),1001 to 5000 employees,3.3,"Bellevue, WA"
$50 to $100 million (USD),1001 to 5000 employees,2.7,"Lincoln, NE"
Unknown / Non-Applicable,501 to 1000 employees,2.7,"New York, NY"
$1 to $5 million (USD),1 to 50 employees,2.2,"Chantilly, VA"
$100 to $500 million (USD),501 to 1000 employees,3.4,"Santa Monica, CA"
$100 to $500 million (USD),501 to 1000 employees,3.1,"Boston, MA"
$10+ billion (USD),10000+ employees,3.4,"Boston, MA"
$100 to $500 million (USD),1001 to 5000 employees,2.6,"Ewing, NJ"
Unknown / Non-Applicable,51 to 200 employees,5.0,"South San Francisco, CA"
$10 to $25 million (USD),51 to 200 employees,4.2,"Palo Alto, CA"
$10+ billion (USD),10000+ employees,4.1,"New York, NY"
Unknown / Non-Applicable,201 to 500 employees,4.8,"Boston, MA"
Unknown / Non-Applicable,501 to 1000 employees,3.3,"Bellevue, WA"
Unknown / Non-Applicable,1001 to 5000 employees,3.7,"Singapore, Singapore"
Unknown / Non-Applicable,201 to 500 employees,4.3,"Cambridge, MA"
$10 to $25 million (USD),1 to 50 employees,4.8,"San Francisco, CA"
$10+ billion (USD),10000+ employees,3.7,"OSAKA, Japan"
Unknown / Non-Applicable,501 to 1000 employees,4.0,"Santa Clara, CA"
$10 to $25 million (USD),51 to 200 employees,4.8,"Vienna, VA"
Unknown / Non-Applicable,51 to 200 employees,3.5,"New Orleans, LA"
$100 to $500 million (USD),5001 to 10000 employees,3.7,"Akron, OH"
$1 to $5 million (USD),201 to 500 employees,3.5,"Saint Louis, MO"
$2 to $5 billion (USD),1001 to 5000 employees,4.1,"San Francisco, CA"
Unknown / Non-Applicable,1001 to 5000 employees,3.2,"San Francisco, CA"
$25 to $50 million (USD),201 to 500 employees,4.5,"Saint Louis, MO"
$10+ billion (USD),10000+ employees,3.8,"Zurich, Switzerland"
$100 to $500 million (USD),201 to 500 employees,4.5,"Woburn, MA"
$1 to $2 billion (USD),1001 to 5000 employees,3.5,"Bedford, MA"
Unknown / Non-Applicable,51 to 200 employees,4.2,"Santa Barbara, CA"
$100 to $500 million (USD),201 to 500 employees,3.8,"Carson, CA"
$100 to $500 million (USD),1001 to 5000 employees,3.7,"Coral Gables, FL"
Unknown / Non-Applicable,501 to 1000 employees,3.7,"New York, NY"
$50 to $100 million (USD),1001 to 5000 employees,4.0,"San Ramon, CA"
Unknown / Non-Applicable,501 to 1000 employees,3.3,"Chicago, IL"
Unknown / Non-Applicable,1 to 50 employees,2.5,"Brisbane, CA"
$25 to $50 million (USD),51 to 200 employees,4.2,"Winter Park, FL"
Unknown / Non-Applicable,501 to 1000 employees,3.3,"Chicago, IL"
$2 to $5 billion (USD),5001 to 10000 employees,4.0,"San Rafael, CA"
$10+ billion (USD),10000+ employees,3.7,"Deerfield, IL"
Unknown / Non-Applicable,201 to 500 employees,4.9,"Ipswich, MA"
$100 to $500 million (USD),1001 to 5000 employees,3.4,"Carmel, IN"
Unknown / Non-Applicable,1001 to 5000 employees,3.1,"New York, NY"
Unknown / Non-Applicable,1001 to 5000 employees,3.5,"Chevy Chase, MD"
Unknown / Non-Applicable,201 to 500 employees,2.9,"Hartford, CT"
$100 to $500 million (USD),201 to 500 employees,3.3,"Emeryville, CA"
$10+ billion (USD),10000+ employees,4.0,"Cambridge, United Kingdom"
$25 to $50 million (USD),51 to 200 employees,3.6,"Rockville, MD"
$25 to $50 million (USD),51 to 200 employees,4.7,"Minneapolis, MN"
Unknown / Non-Applicable,1 to 50 employees,4.9,"Chicago, IL"
$25 to $50 million (USD),51 to 200 employees,4.3,"Austin, TX"
Unknown / Non-Applicable,1001 to 5000 employees,4.0,"San Francisco, CA"
Unknown / Non-Applicable,501 to 1000 employees,2.6,"Yakima, WA"
$10 to $25 million (USD),51 to 200 employees,4.5,"Santa Cruz, CA"
Unknown / Non-Applicable,201 to 500 employees,4.8,"Boston, MA"
$10+ billion (USD),10000+ employees,3.9,"Mc Lean, VA"
$10+ billion (USD),10000+ employees,4.0,"Cambridge, United Kingdom"
$5 to $10 million (USD),51 to 200 employees,4.4,"Mc Lean, VA"
$1 to $2 billion (USD),5001 to 10000 employees,4.2,"Herndon, VA"
Unknown / Non-Applicable,201 to 500 employees,3.6,"South Jordan, UT"
$100 to $500 million (USD),1001 to 5000 employees,3.4,"Princeton, NJ"
$2 to $5 billion (USD),5001 to 10000 employees,4.4,"Mountain View, CA"
$10 to $25 million (USD),51 to 200 employees,3.5,"Reston, VA"
$10+ billion (USD),10000+ employees,3.9,"Mc Lean, VA"
$10 to $25 million (USD),51 to 200 employees,3.8,"Denver, CO"
$10+ billion (USD),1001 to 5000 employees,3.5,"Washington, DC"
Less than $1 million (USD),1 to 50 employees,4.9,"Holmdel, NJ"
Unknown / Non-Applicable,1 to 50 employees,4.4,"Aurora, CO"
Unknown / Non-Applicable,51 to 200 employees,4.1,"San Mateo, CA"
$2 to $5 billion (USD),5001 to 10000 employees,4.0,"San Rafael, CA"
$2 to $5 billion (USD),5001 to 10000 employees,4.4,"Mountain View, CA"
$50 to $100 million (USD),501 to 1000 employees,3.8,"Goleta, CA"
Unknown / Non-Applicable,501 to 1000 employees,3.2,"Franklin, TN"
$10 to $25 million (USD),51 to 200 employees,2.9,"Indianapolis, IN"
Unknown / Non-Applicable,10000+ employees,4.1,"Palo Alto, CA"
$5 to $10 million (USD),10000+ employees,3.7,"Reston, VA"
$2 to $5 billion (USD),1001 to 5000 employees,3.2,"New York, NY"
Unknown / Non-Applicable,51 to 200 employees,4.9,"Lutherville Timonium, MD"
$2 to $5 billion (USD),5001 to 10000 employees,3.5,"Westminster, CO"
Unknown / Non-Applicable,1 to 50 employees,5.0,"Burlingame, CA"
$100 to $500 million (USD),1001 to 5000 employees,4.0,"Reston, VA"
Unknown / Non-Applicable,1 to 50 employees,3.6,"New York, NY"
$5 to $10 million (USD),51 to 200 employees,4.0,"Annapolis Junction, MD"
$2 to $5 billion (USD),1001 to 5000 employees,3.2,"New York, NY"
Unknown / Non-Applicable,51 to 200 employees,5.0,"South San Francisco, CA"
$50 to $100 million (USD),201 to 500 employees,4.8,"Bethesda, MD"
Unknown / Non-Applicable,51 to 200 employees,4.5,"Beavercreek, OH"
Unknown / Non-Applicable,51 to 200 employees,4.7,"San Francisco, CA"
$100 to $500 million (USD),501 to 1000 employees,4.5,"Mc Lean, VA"
$25 to $50 million (USD),51 to 200 employees,4.2,"Winter Park, FL"
Unknown / Non-Applicable,51 to 200 employees,3.4,"Schaumburg, IL"
$2 to $5 billion (USD),5001 to 10000 employees,3.8,"Sunnyvale, CA"
Unknown / Non-Applicable,51 to 200 employees,4.7,"Saint Louis, MO"
Unknown / Non-Applicable,51 to 200 employees,3.6,"Chicago, IL"
$25 to $50 million (USD),51 to 200 employees,4.2,"Winter Park, FL"
$2 to $5 billion (USD),5001 to 10000 employees,3.8,"Sunnyvale, CA"
Unknown / Non-Applicable,1 to 50 employees,5.0,"San Francisco, CA"
$50 to $100 million (USD),201 to 500 employees,4.9,"Lehi, UT"
$25 to $50 million (USD),51 to 200 employees,4.4,"New York, NY"
$100 to $500 million (USD),1001 to 5000 employees,3.3,"Lake Oswego, OR"
Unknown / Non-Applicable,51 to 200 employees,3.2,"San Francisco, CA"
Unknown / Non-Applicable,51 to 200 employees,3.2,"San Francisco, CA"
$50 to $100 million (USD),201 to 500 employees,4.9,"Lehi, UT"
Unknown / Non-Applicable,201 to 500 employees,4.2,"San Mateo, CA"
$25 to $50 million (USD),201 to 500 employees,4.5,"Saint Louis, MO"
Unknown / Non-Applicable,201 to 500 employees,4.8,"Palo Alto, CA"
Unknown / Non-Applicable,501 to 1000 employees,3.8,"Holyoke, MA"
Unknown / Non-Applicable,1001 to 5000 employees,3.7,"Chicago, IL"
$5 to $10 million (USD),51 to 200 employees,3.3,"San Francisco, CA"
$1 to $2 billion (USD),5001 to 10000 employees,3.3,"Bedford, MA"
$10 to $25 million (USD),1 to 50 employees,5.0,"Dulles, VA"
$100 to $500 million (USD),501 to 1000 employees,3.8,"Bethesda, MD"
$10 to $25 million (USD),1001 to 5000 employees,3.4,"Boston, MA"
$50 to $100 million (USD),501 to 1000 employees,2.4,"San Diego, CA"
$10 to $25 million (USD),51 to 200 employees,2.9,"Cambridge, MA"
Unknown / Non-Applicable,201 to 500 employees,4.4,"Detroit, MI"
$10+ billion (USD),10000+ employees,2.9,"Stamford, CT"
$50 to $100 million (USD),201 to 500 employees,2.7,"Rockville, MD"
Unknown / Non-Applicable,1001 to 5000 employees,4.2,"Carpinteria, CA"
$100 to $500 million (USD),201 to 500 employees,3.5,"Columbia, SC"
-1,-1,-1.0,-1
$2 to $5 billion (USD),10000+ employees,4.2,"Marcy-l'Etoile, France"
$100 to $500 million (USD),501 to 1000 employees,4.5,"Mc Lean, VA"
Unknown / Non-Applicable,1 to 50 employees,4.4,"Mays Landing, NJ"
-1,-1,-1.0,-1
$10+ billion (USD),10000+ employees,3.5,"Reston, VA"
$100 to $500 million (USD),201 to 500 employees,4.5,"San Francisco, CA"
$1 to $2 billion (USD),1001 to 5000 employees,4.1,"Columbia, MO"
$2 to $5 billion (USD),5001 to 10000 employees,3.5,"Westminster, CO"
$25 to $50 million (USD),501 to 1000 employees,2.7,"Washington, DC"
$10+ billion (USD),10000+ employees,3.4,"Fairfax, VA"
Unknown / Non-Applicable,201 to 500 employees,4.4,"Chandler, AZ"
$2 to $5 billion (USD),5001 to 10000 employees,4.0,"San Rafael, CA"
$1 to $2 billion (USD),5001 to 10000 employees,4.2,"Herndon, VA"
$10+ billion (USD),10000+ employees,3.5,"Aurora, Canada"
$100 to $500 million (USD),1001 to 5000 employees,2.3,"Blue Bell, PA"
$5 to $10 billion (USD),5001 to 10000 employees,3.4,"Troy, MI"
Unknown / Non-Applicable,501 to 1000 employees,3.3,"Chicago, IL"
$100 to $500 million (USD),201 to 500 employees,4.7,"Redwood City, CA"
Unknown / Non-Applicable,201 to 500 employees,3.9,"New York, NY"
$1 to $2 billion (USD),1001 to 5000 employees,3.3,"San Diego, CA"
Unknown / Non-Applicable,501 to 1000 employees,3.3,"Chicago, IL"
$50 to $100 million (USD),201 to 500 employees,4.4,"Greenville, SC"
$500 million to $1 billion (USD),1001 to 5000 employees,3.7,"Richland, WA"
$500 million to $1 billion (USD),1001 to 5000 employees,3.5,"Memphis, TN"
$50 to $100 million (USD),501 to 1000 employees,3.6,"Arlington, VA"
$100 to $500 million (USD),501 to 1000 employees,3.8,"Bethesda, MD"
$25 to $50 million (USD),201 to 500 employees,4.7,"Harrisburg, PA"
$1 to $2 billion (USD),1001 to 5000 employees,3.5,"Hamilton, Bermuda"
$500 million to $1 billion (USD),5001 to 10000 employees,3.3,"Lynchburg, VA"
Unknown / Non-Applicable,51 to 200 employees,3.9,"San Francisco, CA"
$10+ billion (USD),5001 to 10000 employees,3.7,"Springfield, MA"
$100 to $500 million (USD),501 to 1000 employees,3.9,"San Carlos, CA"
$10+ billion (USD),10000+ employees,4.0,"South San Francisco, CA"
$50 to $100 million (USD),201 to 500 employees,4.2,"Herndon, VA"
Unknown / Non-Applicable,Unknown,3.6,"Waltham, MA"
Unknown / Non-Applicable,501 to 1000 employees,4.7,"San Jose, CA"
Unknown / Non-Applicable,51 to 200 employees,4.1,"Mountain View, CA"
$10+ billion (USD),10000+ employees,4.0,"Cambridge, United Kingdom"
Unknown / Non-Applicable,Unknown,5.0,"Jersey City, NJ"
$10+ billion (USD),10000+ employees,4.0,"Cambridge, United Kingdom"
Unknown / Non-Applicable,51 to 200 employees,4.3,"Santa Cruz, CA"
$100 to $500 million (USD),5001 to 10000 employees,3.8,"Fort Worth, TX"
$100 to $500 million (USD),201 to 500 employees,3.8,"Cambridge, MA"
$100 to $500 million (USD),501 to 1000 employees,4.6,"Cedar Rapids, IA"
Unknown / Non-Applicable,51 to 200 employees,4.1,"Washington, DC"
$10 to $25 million (USD),51 to 200 employees,3.4,"Chicago, IL"
$10 to $25 million (USD),51 to 200 employees,4.1,"McLean, VA"
$100 to $500 million (USD),501 to 1000 employees,3.7,"Lorton, VA"
$50 to $100 million (USD),51 to 200 employees,4.4,"San Francisco, CA"
$10+ billion (USD),10000+ employees,3.9,"Basel, Switzerland"
$1 to $2 billion (USD),1001 to 5000 employees,3.6,"Mc Lean, VA"
$100 to $500 million (USD),501 to 1000 employees,4.5,"Mc Lean, VA"
$100 to $500 million (USD),1001 to 5000 employees,3.7,"Maple Plain, MN"
$50 to $100 million (USD),201 to 500 employees,2.9,"Kent, WA"
$1 to $5 million (USD),1 to 50 employees,5.0,"Woodbine, MD"
$100 to $500 million (USD),201 to 500 employees,3.4,"Denver, CO"
$2 to $5 billion (USD),5001 to 10000 employees,3.5,"Westminster, CO"
$1 to $5 million (USD),1 to 50 employees,5.0,"Woodbine, MD"
Unknown / Non-Applicable,201 to 500 employees,4.8,"Boston, MA"
$500 million to $1 billion (USD),1001 to 5000 employees,3.9,"San Antonio, TX"
$10+ billion (USD),10000+ employees,4.0,"Cambridge, United Kingdom"
$100 to $500 million (USD),501 to 1000 employees,4.3,"Reston, VA"
$500 million to $1 billion (USD),501 to 1000 employees,3.5,"Scotts Valley, CA"
$10+ billion (USD),5001 to 10000 employees,3.7,"Springfield, MA"
Unknown / Non-Applicable,501 to 1000 employees,3.3,"Chicago, IL"
Unknown / Non-Applicable,1001 to 5000 employees,3.1,"Spartanburg, SC"
$100 to $500 million (USD),51 to 200 employees,4.3,"New York, NY"
$100 to $500 million (USD),51 to 200 employees,4.2,"Orlando, FL"
$50 to $100 million (USD),201 to 500 employees,4.4,"Greenville, SC"
$2 to $5 billion (USD),501 to 1000 employees,3.6,"San Francisco, CA"
$5 to $10 million (USD),51 to 200 employees,4.5,"Woodbridge, NJ"
$100 to $500 million (USD),1001 to 5000 employees,3.0,"Chennai, India"
Unknown / Non-Applicable,51 to 200 employees,5.0,"Tel Aviv-Yafo, Israel"
$50 to $100 million (USD),501 to 1000 employees,3.6,"Arlington, VA"
$2 to $5 billion (USD),5001 to 10000 employees,3.6,"Baltimore, MD"
$5 to $10 million (USD),1 to 50 employees,-1.0,"Manalapan, NJ"
$100 to $500 million (USD),501 to 1000 employees,3.8,"Bethesda, MD"
$500 million to $1 billion (USD),5001 to 10000 employees,3.3,"Lynchburg, VA"
Unknown / Non-Applicable,1001 to 5000 employees,3.8,"Charlotte, NC"
$1 to $2 billion (USD),1001 to 5000 employees,3.5,"Hamilton, Bermuda"
$1 to $2 billion (USD),10000+ employees,3.3,"Saxonburg, PA"
Less than $1 million (USD),1 to 50 employees,4.6,"Bristol, PA"
$10+ billion (USD),10000+ employees,3.8,"San Jose, CA"
Unknown / Non-Applicable,51 to 200 employees,3.9,"San Francisco, CA"
Unknown / Non-Applicable,1 to 50 employees,3.9,"Bangalore, India"
$25 to $50 million (USD),51 to 200 employees,4.7,"Atlanta, GA"
$1 to $2 billion (USD),1001 to 5000 employees,4.8,"Sheboygan, WI"
$50 to $100 million (USD),201 to 500 employees,3.1,"New York, NY"
$10 to $25 million (USD),201 to 500 employees,3.6,"Mountain View, CA"
Unknown / Non-Applicable,1 to 50 employees,5.0,"Hoboken, NJ"
$10+ billion (USD),10000+ employees,3.7,"Paris, France"
$10+ billion (USD),10000+ employees,3.7,"Greenwich, CT"
$10 to $25 million (USD),51 to 200 employees,3.9,"Santa Ana, CA"
Less than $1 million (USD),1 to 50 employees,4.3,"Houston, TX"
$50 to $100 million (USD),201 to 500 employees,4.2,"Tucson, AZ"
$10+ billion (USD),5001 to 10000 employees,3.7,"Springfield, MA"
Unknown / Non-Applicable,1 to 50 employees,4.0,"Birmingham, AL"
$10+ billion (USD),10000+ employees,3.3,"Cleveland, OH"
Unknown / Non-Applicable,1001 to 5000 employees,4.1,"Washington, DC"
$50 to $100 million (USD),201 to 500 employees,3.3,"New York, NY"
Unknown / Non-Applicable,201 to 500 employees,3.9,"Pleasanton, CA"
$5 to $10 billion (USD),10000+ employees,3.1,"Columbus, OH"
$50 to $100 million (USD),201 to 500 employees,4.2,"Herndon, VA"
Unknown / Non-Applicable,Unknown,5.0,-1
Unknown / Non-Applicable,51 to 200 employees,2.9,"New York, NY"
Unknown / Non-Applicable,501 to 1000 employees,4.7,"San Jose, CA"
Unknown / Non-Applicable,Unknown,3.6,"Waltham, MA"
Unknown / Non-Applicable,1001 to 5000 employees,3.8,"Lexington, MA"
$2 to $5 billion (USD),1001 to 5000 employees,3.3,"Bellevue, WA"
$500 million to $1 billion (USD),1001 to 5000 employees,3.7,"Richland, WA"
$100 to $500 million (USD),1001 to 5000 employees,3.8,"Boston, MA"
$100 to $500 million (USD),1001 to 5000 employees,3.2,"Rockville, MD"
$10 to $25 million (USD),201 to 500 employees,4.6,"Piscataway, NJ"
$10+ billion (USD),10000+ employees,3.5,"San Jose, CA"
Unknown / Non-Applicable,1 to 50 employees,5.0,"New York, NY"
Unknown / Non-Applicable,51 to 200 employees,4.1,"Mountain View, CA"
$100 to $500 million (USD),1001 to 5000 employees,4.1,"Danvers, MA"
$10+ billion (USD),10000+ employees,3.5,"Philadelphia, PA"
$10 to $25 million (USD),51 to 200 employees,3.2,"Fairfax, VA"
Unknown / Non-Applicable,Unknown,5.0,"Jersey City, NJ"
$1 to $2 billion (USD),1001 to 5000 employees,4.7,"Livermore, CA"
$1 to $2 billion (USD),201 to 500 employees,3.8,"Pittsburgh, PA"
$10+ billion (USD),10000+ employees,3.6,"Dallas, TX"
Unknown / Non-Applicable,201 to 500 employees,4.8,"Boston, MA"
$2 to $5 billion (USD),10000+ employees,3.3,"Northbrook, IL"
$100 to $500 million (USD),1001 to 5000 employees,3.7,"Toronto, Canada"
$25 to $50 million (USD),51 to 200 employees,5.0,"Irvine, CA"
Unknown / Non-Applicable,Unknown,-1.0,"Hillsborough, NJ"
$100 to $500 million (USD),501 to 1000 employees,3.4,"Santa Monica, CA"
Unknown / Non-Applicable,1 to 50 employees,5.0,"Boston, MA"
Unknown / Non-Applicable,Unknown,-1.0,"Hillsborough, NJ"
$10+ billion (USD),10000+ employees,4.0,"Cambridge, United Kingdom"
$5 to $10 billion (USD),10000+ employees,4.2,"Oshkosh, WI"
Unknown / Non-Applicable,51 to 200 employees,4.3,"Santa Cruz, CA"
$10 to $25 million (USD),51 to 200 employees,3.4,"Pittsburgh, PA"
Unknown / Non-Applicable,51 to 200 employees,-1.0,"Fremont, CA"
$5 to $10 million (USD),201 to 500 employees,4.4,"Hillsborough, NJ"
$10+ billion (USD),10000+ employees,3.5,"Reston, VA"
$1 to $2 billion (USD),1001 to 5000 employees,3.7,"New York, NY"
$100 to $500 million (USD),501 to 1000 employees,3.7,"Monroe, WI"
Unknown / Non-Applicable,10000+ employees,4.1,"Goteborg, Sweden"
Unknown / Non-Applicable,1 to 50 employees,3.4,"New York, NY"
Unknown / Non-Applicable,1 to 50 employees,4.5,"Washington, DC"
Unknown / Non-Applicable,1001 to 5000 employees,3.5,"Lake Buena Vista, FL"
$10+ billion (USD),10000+ employees,3.6,"Schaffhausen, Switzerland"
$10+ billion (USD),10000+ employees,3.2,"Richmond, VA"
$25 to $50 million (USD),501 to 1000 employees,3.7,"Newark, CA"
$100 to $500 million (USD),501 to 1000 employees,4.0,"Greensboro, NC"
Unknown / Non-Applicable,51 to 200 employees,3.2,"San Francisco, CA"
$25 to $50 million (USD),51 to 200 employees,4.5,"Falls Church, VA"
Unknown / Non-Applicable,51 to 200 employees,3.4,"San Francisco, CA"
$10 to $25 million (USD),201 to 500 employees,3.9,"Rockville, MD"
$1 to $5 million (USD),1 to 50 employees,3.2,"Scottsdale, AZ"
Unknown / Non-Applicable,Unknown,5.0,"Irving, TX"
$500 million to $1 billion (USD),5001 to 10000 employees,3.4,"Beltsville, MD"
Unknown / Non-Applicable,51 to 200 employees,4.4,"Houston, TX"
$100 to $500 million (USD),5001 to 10000 employees,3.8,"Fort Worth, TX"
$100 to $500 million (USD),201 to 500 employees,3.8,"Cambridge, MA"
$100 to $500 million (USD),201 to 500 employees,3.5,"Toronto, Canada"
Unknown / Non-Applicable,201 to 500 employees,3.8,"San Francisco, CA"
$2 to $5 billion (USD),1001 to 5000 employees,3.9,"Paris, France"
$1 to $5 million (USD),51 to 200 employees,3.4,"Pittsburgh, PA"
$25 to $50 million (USD),51 to 200 employees,3.8,"Naperville, IL"
$100 to $500 million (USD),501 to 1000 employees,4.6,"Cedar Rapids, IA"
$1 to $5 million (USD),1 to 50 employees,-1.0,"Princeton, NJ"
$5 to $10 million (USD),51 to 200 employees,4.6,"Memphis, TN"
$10+ billion (USD),10000+ employees,3.9,"Brentford, United Kingdom"
Unknown / Non-Applicable,1 to 50 employees,-1.0,"Cincinnati, OH"
Unknown / Non-Applicable,1001 to 5000 employees,3.7,"Singapore, Singapore"
